All - 07-04-2025 00:00 - 07-04-2025 23:59
Location,Ticket#,License Plate No.,Amount,Tax,Fee,Per Day Fee,Duration(hh:mm),Entry Time,Exit Time,Transaction Time,Ticket Status,Transaction Mode,Ticket Type,Transaction Description,Payment Status,Extended By,Reason
1501 Main Parking,TR26156,37511F4,30.00,0.00,1.00,0.00,2:00,07/04/2025 02:50 PM,,07/04/2025 02:50 PM,Open,Apple Pay,Regular,,SUCCEEDED,,
1501 Main Parking,TR26156-EXT,37511F4,10.00,0.00,1.00,0.00,Until 11:55 PM,07/04/2025 02:50 PM,,07/04/2025 04:44 PM,Open,Apple Pay,Regular,,SUCCEEDED,Parker,
3016 Main Parking,TJ03952,7FVM141,25.00,0.00,1.00,0.00,Until 11:55 PM,07/04/2025 02:48 PM,,07/04/2025 02:48 PM,Open,Card,Regular,,SUCCEEDED,,
1715 Pacific Parking,TZ52440,8BWC823,30.00,0.00,1.00,0.00,2:00,07/04/2025 02:47 PM,,07/04/2025 02:47 PM,Open,Card,Regular,,SUCCEEDED,,
1501 Main Parking,TW13757,9THS741,20.00,0.00,1.00,0.00,1:00,07/04/2025 02:47 PM,,07/04/2025 02:47 PM,Open,Apple Pay,Regular,,SUCCEEDED,,
3016 Main Parking,TX73224,9JNL118,5.00,0.00,1.00,0.00,0:30,07/04/2025 02:47 PM,,07/04/2025 02:47 PM,Open,Apple Pay,Regular,,SUCCEEDED,,
3016 Main Parking,TX73224-EXT,9JNL118,5.00,0.00,1.00,0.00,0:30,07/04/2025 02:47 PM,,07/04/2025 03:18 PM,Open,Apple Pay,Regular,,SUCCEEDED,Parker,
1501 Main Parking,TQ29769,UC2091,20.00,0.00,1.00,0.00,1:00,07/04/2025 02:47 PM,,07/04/2025 02:47 PM,Open,Apple Pay,Regular,,SUCCEEDED,,
1501 Main Parking,TQ29769-EXT,UC2091,10.00,0.00,1.00,0.00,1:00,07/04/2025 02:47 PM,,07/04/2025 03:41 PM,Open,Apple Pay,Regular,,SUCCEEDED,Parker,
121 Windward Parking,TE88855,9RQW933,10.00,0.00,1.00,0.00,0:30,07/04/2025 02:45 PM,,07/04/2025 02:45 PM,Open,Card,Regular,,SUCCEEDED,,
121 Windward Parking,TE88855-EXT,9RQW933,20.00,0.00,2.00,0.00,1:30,07/04/2025 02:45 PM,,07/04/2025 03:07 PM,Open,Card,Regular,,SUCCEEDED,Parker,
121 Windward Parking,TE88855-EEX,9RQW933,10.00,0.00,1.00,0.00,Until 03:00 AM,07/04/2025 02:45 PM,,07/04/2025 04:51 PM,Open,Card,Regular,,SUCCEEDED,Rodrigo  z,
121 Windward Parking,TT93030,JHC6141,30.00,0.00,3.00,0.00,2:00,07/04/2025 02:41 PM,,07/04/2025 02:41 PM,Open,Apple Pay,Regular,,SUCCEEDED,,
124 Washington Parking (Grand Canal),TJ60462,CWD7458,30.00,0.00,1.00,0.00,2:00,07/04/2025 02:41 PM,,07/04/2025 02:41 PM,Open,Card,Regular,,SUCCEEDED,,
124 Washington Parking (Grand Canal),TJ60462-EEX,CWD7458,50.00,0.00,1.00,0.00,Until 02:00 AM,07/04/2025 02:41 PM,,07/04/2025 05:09 PM,Open,Card,Regular,,SUCCEEDED,Enforcer 2,
124 Washington Parking (Grand Canal),TE02582,6RIK124,30.00,0.00,1.00,0.00,2:00,07/04/2025 02:40 PM,,07/04/2025 02:40 PM,Open,Apple Pay,Regular,,SUCCEEDED,,
220 Rose Parking,TC18025,9GRK810,30.00,0.00,1.00,0.00,Until 11:55 PM,07/04/2025 02:39 PM,,07/04/2025 02:39 PM,Open,Apple Pay,Regular,,SUCCEEDED,,
1715 Pacific Parking,TZ10891,9LZZ727,40.00,0.00,1.00,0.00,Until 11:55 PM,07/04/2025 02:38 PM,,07/04/2025 02:38 PM,Open,Card,Regular,,SUCCEEDED,,
3016 Main Parking,TC67832,9RCM404,25.00,0.00,1.00,0.00,Until 11:55 PM,07/04/2025 02:37 PM,,07/04/2025 02:37 PM,Open,Apple Pay,Regular,,SUCCEEDED,,
801 Ocean Front Walk,TG41642,TLF3364,35.00,0.00,1.00,0.00,Until 02:00 AM,07/04/2025 02:34 PM,,07/04/2025 02:34 PM,Open,Apple Pay,Regular,,SUCCEEDED,,
155 Washington Parking,TJ10411,9RKE967,30.00,0.00,1.00,0.00,2:00,07/04/2025 02:33 PM,,07/04/2025 02:33 PM,Open,Card,Regular,,SUCCEEDED,,
155 Washington Parking,TJ10411-EXT,9RKE967,50.00,0.00,1.00,0.00,Until 01:00 AM,07/04/2025 02:33 PM,,07/04/2025 04:24 PM,Open,Card,Regular,,SUCCEEDED,Parker,
2913 Washington Parking (Scopa 1),TG74268,9SNL772,15.00,0.00,1.00,0.00,2:00,07/04/2025 02:32 PM,,07/04/2025 02:32 PM,Open,Apple Pay,Regular,,SUCCEEDED,,
155 Washington Parking,TK89761,8VWK719,30.00,0.00,1.00,0.00,2:00,07/04/2025 02:29 PM,,07/04/2025 02:29 PM,Open,Apple Pay,Regular,,SUCCEEDED,,
124 Washington Parking (Grand Canal),TY94999,FLYKITT,100.00,0.00,1.00,0.00,Until 02:00 AM,07/04/2025 02:25 PM,,07/04/2025 02:25 PM,Open,Apple Pay,Regular,,SUCCEEDED,,
220 Rose Parking,TH95523,9BTH351,30.00,0.00,1.00,0.00,Until 11:55 PM,07/04/2025 02:24 PM,,07/04/2025 02:24 PM,Open,Apple Pay,Regular,,SUCCEEDED,,
155 Washington Parking,TE14021,8OOZ66,20.00,0.00,1.00,0.00,1:00,07/04/2025 02:24 PM,,07/04/2025 02:24 PM,Open,Card,Regular,,SUCCEEDED,,
816 Washington Parking (Scopa 2),TD35056,7RCP746,15.00,0.00,1.00,0.00,2:00,07/04/2025 02:23 PM,,07/04/2025 02:23 PM,Open,Card,Regular,,SUCCEEDED,,
124 Washington Parking (Grand Canal),TP32645,SUIIIII,30.00,0.00,1.00,0.00,2:00,07/04/2025 02:23 PM,,07/04/2025 02:23 PM,Open,Apple Pay,Regular,,SUCCEEDED,,
124 Washington Parking (Grand Canal),TP32645-EXT,SUIIIII,70.00,0.00,1.00,0.00,Until 02:00 AM,07/04/2025 02:23 PM,,07/04/2025 02:24 PM,Open,Apple Pay,Regular,,SUCCEEDED,Parker,
124 Washington Parking (Grand Canal),TD60499,6VGY697,30.00,0.00,1.00,0.00,2:00,07/04/2025 02:21 PM,,07/04/2025 02:21 PM,Open,Apple Pay,Regular,,SUCCEEDED,,
1715 Pacific Parking,TL80260,RVIDXRS,30.00,0.00,1.00,0.00,2:00,07/04/2025 02:20 PM,,07/04/2025 02:20 PM,Open,Apple Pay,Regular,,SUCCEEDED,,
102 Washington Parking (Arbor),TG79766,4ZSJ247,100.00,0.00,10.00,0.00,Until 02:00 AM,07/04/2025 02:19 PM,,07/04/2025 02:19 PM,Open,Card,Regular,,SUCCEEDED,,
102 Washington Parking (Arbor),TC99631,9HCB601,100.00,0.00,10.00,0.00,Until 02:00 AM,07/04/2025 02:16 PM,,07/04/2025 02:16 PM,Open,Card,Regular,,SUCCEEDED,,
1501 Main Parking,TP79535,4MYA15,20.00,0.00,1.00,0.00,1:00,07/04/2025 02:15 PM,,07/04/2025 02:15 PM,Open,Apple Pay,Regular,,SUCCEEDED,,
124 Washington Parking (Grand Canal),TB20993,9NRU157,10.00,0.00,1.00,0.00,0:30,07/04/2025 02:12 PM,,07/04/2025 02:12 PM,Open,Apple Pay,Regular,,SUCCEEDED,,
124 Washington Parking (Grand Canal),TB20993-EXT,9NRU157,10.00,0.00,1.00,0.00,0:30,07/04/2025 02:12 PM,,07/04/2025 02:42 PM,Open,Apple Pay,Regular,,SUCCEEDED,Parker,
407 Colorado Parking,TC91005,9SJJ974,45.00,0.00,1.00,0.00,Until 11:55 PM,07/04/2025 02:11 PM,,07/04/2025 02:11 PM,Open,Card,Regular,,SUCCEEDED,,
124 Washington Parking (Grand Canal),TD43387,8KPRO50,30.00,0.00,1.00,0.00,2:00,07/04/2025 02:11 PM,,07/04/2025 02:11 PM,Open,Apple Pay,Regular,,SUCCEEDED,,
121 Windward Parking,TW79029,9NIE312,10.00,0.00,1.00,0.00,0:30,07/04/2025 02:11 PM,,07/04/2025 02:11 PM,Open,Apple Pay,Regular,,SUCCEEDED,,
121 Windward Parking,TE11478,9CVM983,30.00,0.00,3.00,0.00,2:00,07/04/2025 02:11 PM,,07/04/2025 02:11 PM,Open,Apple Pay,Regular,,SUCCEEDED,,
121 Windward Parking,TE11478-EEX,9CVM983,10.00,0.00,1.00,0.00,Until 03:00 AM,07/04/2025 02:11 PM,,07/04/2025 04:18 PM,Open,Apple Pay,Regular,,SUCCEEDED,Rodrigo  z,
1715 Pacific Parking,TK14257,9SUE785,30.00,0.00,1.00,0.00,2:00,07/04/2025 02:10 PM,,07/04/2025 02:10 PM,Open,Apple Pay,Regular,,SUCCEEDED,,
121 Windward Parking,TW92463,9RUV047,20.00,0.00,2.00,0.00,1:00,07/04/2025 02:05 PM,,07/04/2025 02:05 PM,Open,Apple Pay,Regular,,SUCCEEDED,,
121 Windward Parking,TW92463-EXT,9RUV047,10.00,0.00,1.00,0.00,1:00,07/04/2025 02:05 PM,,07/04/2025 02:54 PM,Open,Apple Pay,Regular,,SUCCEEDED,Parker,
407 Colorado Parking,TN72460,9LTW211,10.00,0.00,1.00,0.00,1:00,07/04/2025 02:04 PM,,07/04/2025 02:04 PM,Open,Apple Pay,Regular,,SUCCEEDED,,
100 Venice Way Parking,TR67104,PUL604,40.00,0.00,4.00,0.00,Until 02:00 AM,07/04/2025 02:04 PM,,07/04/2025 02:04 PM,Open,Card,Regular,,SUCCEEDED,,
100 Venice Way Parking,TG42663,8PEK254,40.00,0.00,4.00,0.00,Until 02:00 AM,07/04/2025 02:03 PM,,07/04/2025 02:03 PM,Open,Apple Pay,Regular,,SUCCEEDED,,
816 Washington Parking (Scopa 2),TX39121,9EWL680,15.00,0.00,1.00,0.00,2:00,07/04/2025 02:03 PM,,07/04/2025 02:03 PM,Open,Apple Pay,Regular,,SUCCEEDED,,
124 Washington Parking (Grand Canal),TQ07280,9RTG772,70.00,0.00,1.00,0.00,Until 02:00 AM,07/04/2025 02:03 PM,,07/04/2025 02:03 PM,Open,Apple Pay,Regular,,SUCCEEDED,,
124 Washington Parking (Grand Canal),TW18784,7BQZ783,70.00,0.00,1.00,0.00,Until 02:00 AM,07/04/2025 02:00 PM,,07/04/2025 02:00 PM,Open,Apple Pay,Regular,,SUCCEEDED,,
124 Washington Parking (Grand Canal),TM83888,9SBA232,70.00,0.00,1.00,0.00,Until 02:00 AM,07/04/2025 01:59 PM,,07/04/2025 01:59 PM,Open,Apple Pay,Regular,,SUCCEEDED,,
18th Avenue Parking,TG58417,8RMT612,25.00,0.00,1.00,0.00,Until 02:00 AM,07/04/2025 01:59 PM,,07/04/2025 01:59 PM,Open,Apple Pay,Regular,,SUCCEEDED,,
220 Rose Parking,TR65686,8CNW313,30.00,0.00,1.00,0.00,Until 11:55 PM,07/04/2025 01:59 PM,,07/04/2025 01:59 PM,Open,Apple Pay,Regular,,SUCCEEDED,,
220 Rose Parking,TV20329,8WUB332,30.00,0.00,1.00,0.00,Until 11:55 PM,07/04/2025 01:59 PM,,07/04/2025 01:59 PM,Open,Apple Pay,Regular,,SUCCEEDED,,
124 Washington Parking (Grand Canal),TZ20349,9LMW791,70.00,0.00,1.00,0.00,Until 02:00 AM,07/04/2025 01:59 PM,,07/04/2025 01:59 PM,Open,Apple Pay,Regular,,SUCCEEDED,,
121 Windward Parking,TV16476,8ZOG603,30.00,0.00,3.00,0.00,2:00,07/04/2025 01:58 PM,,07/04/2025 01:58 PM,Open,Apple Pay,Regular,,SUCCEEDED,,
121 Windward Parking,TV16476-EXT,8ZOG603,10.00,0.00,1.00,0.00,Until 03:00 AM,07/04/2025 01:58 PM,,07/04/2025 03:53 PM,Open,Apple Pay,Regular,,SUCCEEDED,Parker,
121 Windward Parking,TJ70277,9THC244,40.00,0.00,4.00,0.00,Until 03:00 AM,07/04/2025 01:53 PM,,07/04/2025 01:53 PM,Open,Apple Pay,Regular,,SUCCEEDED,,
3016 Main Parking,TQ02741,S947BK,20.00,0.00,1.00,0.00,2:00,07/04/2025 01:52 PM,,07/04/2025 01:52 PM,Open,Apple Pay,Regular,,SUCCEEDED,,
3016 Main Parking,TQ02741-EXT,S947BK,5.00,0.00,1.00,0.00,Until 11:55 PM,07/04/2025 01:52 PM,,07/04/2025 03:50 PM,Open,Apple Pay,Regular,,SUCCEEDED,Parker,
100 Venice Way Parking,TB10637,HN7012,20.00,0.00,2.00,0.00,1:00,07/04/2025 01:50 PM,,07/04/2025 01:50 PM,Open,Apple Pay,Regular,,SUCCEEDED,,
220 Rose Parking,TA66620,9EFM786,30.00,0.00,1.00,0.00,Until 11:55 PM,07/04/2025 01:49 PM,,07/04/2025 01:49 PM,Open,Apple Pay,Regular,,SUCCEEDED,,
407 Colorado Parking,TG23312,9KVG494,10.00,0.00,1.00,0.00,1:00,07/04/2025 01:48 PM,,07/04/2025 01:48 PM,Open,Card,Regular,,SUCCEEDED,,
407 Colorado Parking,TG23312-EXT,9KVG494,15.00,0.00,1.00,0.00,1:00,07/04/2025 01:48 PM,,07/04/2025 02:46 PM,Open,Card,Regular,,SUCCEEDED,Parker,
121 Windward Parking,TM27724,6FBX952,20.00,0.00,2.00,0.00,1:00,07/04/2025 01:48 PM,,07/04/2025 01:48 PM,Open,Card,Regular,,SUCCEEDED,,
121 Windward Parking,TM27724-EXT,6FBX952,10.00,0.00,1.00,0.00,1:00,07/04/2025 01:48 PM,,07/04/2025 02:31 PM,Open,Card,Regular,,SUCCEEDED,Parker,
